ItemNumber,ItemName,CategoryName,CountryState
734,Far Niente Cabernet 750ml,Cabernet Sauvignon,California
735,Far Niente Chardonnay 750ml,Chardonnay,California
942,Hahn Chardonnay 750ml 2013,Chardonnay,California
959,Heitz Cabernet Napa 750ml 2001,Cabernet Sauvignon,California
1463,Pine Ridge Chenin Blanc-Viognier 750ml,Misc White,California
1662,Simi Cabernet Alexander Valley 750ml,Cabernet Sauvignon,California
1664,Simi Chardonnay 750ml,Chardonnay,California
72,Antinori Santa Cristina Rosso 750ml,Tuscany,Italy
1244,Marques de Caceres Rioja Crianza 750ml,Wine - Spain,Spain
1247,Marques De Caceres Verdejo White 750ml,Wine - Spain,Spain
656,Dom Perignon 750ml,French Champagne,France
441,Chandon Blanc de Noirs 750ml,Wine - Sparkling,California
1567,Roederer Brut Premier NV 750ml,French Champagne,France
96,Ariel Chardonnay 750ml,Wine (Misc),California
1082,Kenwood Chardonnay 750ml,Chardonnay,California
941,Hahn Cabernet 750ml,Cabernet Sauvignon,California
367,Carlo Rossi Paisano 4L,Wine - 3L/4L,California
1189,Livingston Cellars Chablis Blanc 3L,Wine - 3L/4L,California
878,Gallo Family Vnyds White Zinfandel 1.5L,Wine - White Zin./Beverage,California
730,Fairbanks Cream Sherry 1.5L,Port/Sherry,California
1833,Totts Extra Dry 750ml,Wine - Sparkling,California
185,Benziger Chardonnay Sonoma 750ml,Chardonnay,California
184,Benziger Cabernet Sonoma 750ml,Cabernet Sauvignon,California
1344,"Mondavi, CK Chardonnay 1.5L",1.5L Chard,California
420,Ch Ste Michelle Cabernet 750ml,Cabernet Sauvignon,Washington
425,Ch Ste Michelle Cold Creek Caberne 750ml 1996,Cabernet Sauvignon,Washington
436,Ch Ste Michelle Sauvignon Blanc 750ml,Sauvignon Blanc,Washington
1285,Meridian Chardonnay 750ml,Chardonnay,California
1742,Sutter Home Chardonnay 1.5L,1.5L Chard,California
1770,Sutter Home White Zinfandel 1.5L,Wine - White Zin./Beverage,California
1014,Jaboulet Parallele 45 750ml,Rhone,France
274,Bolla Bardolino 1.5L,1.5L Other Red,Italy
948,Hakutsuru Plum 750ml,Wine (Misc),Japan
947,Hakutsuru Junmai Sake 720ml,Wine (Misc),Japan
661,Domaine Ste Michelle Brut 750ml,Wine - Sparkling,Washington
844,Freixenet Carta Nevada Semi Dry 750ml,Wine - Sparkling,Spain
1006,J Roget Brut 750ml,Wine - Sparkling,California
1005,J Roget Brut 187ml,Wine - Sparkling,California
1100,Korbel Brut 750ml,Wine - Sparkling,California
926,Grgich Hills Chardonnay 750ml 2006,Chardonnay,California
1086,Kenwood Sonoma Cabernet 750ml,Cabernet Sauvignon,California
451,Charles Krug Cabernet 750ml,Cabernet Sauvignon,California
1740,Sutter Home Cabernet 1.5L,1.5L Cabernet,California
1764,Sutter Home Sauvignon Blanc 1.5L,1.5L Sauv Blanc,California
1765,Sutter Home Sauvignon Blanc 187ml-4p,Wine (Misc),California
1746,Sutter Home Fre Chardonnay 750ml,Wine (Misc),California
1924,William Hill Chardonnay Napa 750ml,Chardonnay,California
110,B & G Vouvray 750ml,Loire,France
1842,Trimbach Pinot Blanc 750ml,Alsace,France
279,Bollinger Brut Special Cuvee 750ml,French Champagne,France
848,Freixenet Cordon Negro Extra Dry 750ml,Wine - Sparkling,Spain
906,Gloria Ferrer Brut 750ml,Wine - Sparkling,California
1004,J Roget Brut 1.5L,Wine - Sparkling,California
1009,J Roget Spumante 750ml,Wine - Sparkling,California
1104,Korbel Extra Dry 750ml,Wine - Sparkling,California
