ItemNumber,StoreNumber,CurrentPrice,Approval,Strategy
734,1,164.99,Approved,B
734,4,164.99,Approved,B
734,2,164.99,Approved,B
735,1,57.99,Approved,A
735,4,57.99,Approved,A
735,3,57.99,Approved,A
735,5,59.99,Approved,A
942,2,11.49,Approved,A
942,1,11.49,Approved,A
942,4,11.49,Approved,A
942,10,9.99,Approved,A
959,2,49.99,Approved,A
959,4,49.99,Approved,A
959,3,49.99,Approved,A
959,1,49.99,Approved,A
959,5,49.99,Approved,A
1463,1,11.99,Approved,B
1463,4,11.99,Approved,B
1463,3,11.99,Approved,B
1463,2,11.99,Approved,B
1463,5,11.99,Approved,B
1662,2,15.99,Approved,B
1662,4,15.99,Approved,B
1662,1,15.99,Approved,B
1664,2,10.99,Approved,A
1664,4,10.99,Approved,A
1664,3,10.99,Approved,A
1664,1,10.99,Approved,A
72,3,10.99,Approved,A
72,1,10.99,Approved,A
72,5,9.99,Approved,A
1244,1,11.99,Approved,B
1244,3,11.99,Approved,B
1244,2,11.99,Approved,B
1244,10,11.99,Approved,B
1247,4,8.99,Approved,B
1247,10,7.99,Approved,B
656,2,149.99,Approved,A
656,1,149.99,Approved,A
656,4,149.99,Approved,A
656,5,159.99,Approved,A
441,2,17.99,Approved,D
441,1,17.99,Approved,D
441,5,19.49,Approved,D
1567,1,44.99,Approved,A
1567,4,44.99,Approved,A
1567,3,44.99,Approved,A
1567,2,44.99,Approved,A
1567,10,55.99,Approved,A
96,1,7.99,Approved,A
96,4,7.99,Approved,A
96,3,7.99,Approved,A
96,2,7.99,Approved,A
96,6,7.99,Approved,A
96,10,8.99,Approved,A
1082,2,8.29,Approved,A
1082,4,8.29,Approved,A
1082,5,9.49,Approved,A
941,2,11.99,Approved,A
941,4,11.99,Approved,A
941,5,12.49,Approved,A
367,1,13.99,Approved,A
367,4,13.99,Approved,A
367,2,13.99,Approved,A
1189,2,11.49,Approved,A
1189,3,11.49,Approved,A
1189,4,11.49,Approved,A
1189,10,12.99,Approved,A
878,2,8.29,Approved,B
878,4,8.29,Approved,B
878,5,8.49,Approved,B
730,5,11.29,Approved,C
1833,2,7.49,Approved,A
1833,3,7.49,Approved,A
1833,4,7.49,Approved,A
185,4,11.99,Approved,B
185,2,11.99,Approved,B
185,5,9.99,Approved,B
184,1,14.99,Approved,B
184,2,14.99,Approved,B
1344,4,7.99,Approved,B
1344,2,7.99,Approved,B
1344,3,7.99,Approved,B
1344,1,7.99,Approved,B
1344,5,9.99,Approved,B
420,3,11.99,Approved,B
420,1,11.99,Approved,B
420,4,11.99,Approved,B
420,10,12.99,Approved,B
425,3,29.99,Approved,A
425,1,29.99,Approved,A
425,4,29.99,Approved,A
425,5,27.99,Approved,A
436,3,9.49,Approved,B
436,1,9.49,Approved,B
436,2,9.49,Approved,B
436,4,9.49,Approved,B
1285,1,5.49,Approved,B
1285,4,5.49,Approved,B
1285,3,5.49,Approved,B
1285,2,5.49,Approved,B
1742,4,7.99,Approved,A
1742,2,7.99,Approved,A
1742,3,7.99,Approved,A
1742,1,7.99,Approved,A
1742,5,8.49,Approved,A
1770,1,7.99,Approved,C
1770,4,7.99,Approved,C
1770,3,7.99,Approved,C
1770,2,7.99,Approved,C
1770,5,8.49,Approved,C
1014,1,11.99,Approved,C
1014,2,11.99,Approved,C
1014,3,11.99,Approved,C
1014,5,14.29,Approved,C
274,4,10.99,Approved,C
274,3,10.99,Approved,C
948,1,13.99,Approved,A
948,4,13.99,Approved,A
